 Z= 100 A= 230  Fm beta2= 0.11 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   7.615112E-02  -3.878960E-16  -6.453171E-16  -4.128059E-16  -1.487709E-15   7.271186E-02  -3.878960E-16  -5.620504E-16  -8.631396E-16   8.869036E-16
   0.100   7.631894E-02  -2.165597E-05   2.538445E-08  -6.165031E-12   6.995094E-15   7.260321E-02   1.803815E-05  -1.509090E-08  -1.010474E-12   1.544929E-15
   0.200   7.681533E-02  -8.509225E-05   4.011904E-07  -3.906214E-10  -9.876100E-14   7.228101E-02   7.111005E-05  -2.395222E-07  -6.372521E-11   1.217347E-13
   0.300   7.761936E-02  -1.858188E-04   1.989827E-06  -4.383789E-09  -2.486506E-12   7.175640E-02   1.561384E-04  -1.196405E-06  -7.083711E-10   3.152227E-12
   0.400   7.869721E-02  -3.166946E-04   6.110805E-06  -2.412471E-08  -2.380197E-11   7.104750E-02   2.681605E-04  -3.710489E-06  -3.845883E-09   3.119211E-11
   0.500   8.000383E-02  -4.684152E-04   1.437749E-05  -8.960397E-08  -1.344596E-10   7.017877E-02   4.005722E-04  -8.840225E-06  -1.403151E-08   1.834249E-10
   0.600   8.148497E-02  -6.301472E-04   2.849391E-05  -2.589687E-07  -5.410619E-10   6.918013E-02   5.454585E-04  -1.778803E-05  -3.964812E-08   7.755129E-10
   0.700   8.307979E-02  -7.902633E-04   5.003337E-05  -6.283314E-07  -1.715287E-09   6.808584E-02   6.939993E-04  -3.179393E-05  -9.356289E-08   2.608229E-09
   0.800   8.472374E-02  -9.371293E-04   8.022223E-05  -1.339153E-06  -4.547350E-09   6.693326E-02   8.369342E-04  -5.201905E-05  -1.928192E-07   7.411763E-09
   0.900   8.635157E-02  -1.059886E-03   1.197511E-04  -2.581444E-06  -1.047278E-08   6.576140E-02   9.650667E-04  -7.942629E-05  -3.570257E-07   1.849962E-08
   1.000   8.790044E-02  -1.149174E-03   1.686324E-04  -4.591454E-06  -2.149203E-08   6.460946E-02   1.069784E-03  -1.146661E-04  -6.052793E-07   4.164421E-08
   1.100   8.931290E-02  -1.197754E-03   2.261185E-04  -7.643081E-06  -3.998700E-08   6.351521E-02   1.143565E-03  -1.579757E-04  -9.516869E-07   8.615363E-08
   1.200   9.053950E-02  -1.200984E-03   2.906862E-04  -1.203295E-05  -6.824377E-08   6.251358E-02   1.180449E-03  -2.090990E-04  -1.399796E-06   1.660895E-07
   1.300   9.154109E-02  -1.157109E-03   3.600905E-04  -1.805982E-05  -1.076168E-07   6.163516E-02   1.176426E-03  -2.672348E-04  -1.936481E-06   3.015253E-07
   1.400   9.229046E-02  -1.067370E-03   4.314796E-04  -2.599959E-05  -1.573210E-07   6.090506E-02   1.129739E-03  -3.310180E-04  -2.526006E-06   5.197091E-07
   1.500   9.277344E-02  -9.359044E-04   5.015612E-04  -3.607773E-05  -2.129019E-07   6.034184E-02   1.041054E-03  -3.985370E-04  -3.105088E-06   8.559666E-07
   1.600   9.298920E-02  -7.694610E-04   5.668061E-04  -4.844136E-05  -2.645068E-07   5.995684E-02   9.134901E-04  -4.673890E-04  -3.579751E-06   1.354177E-06
   1.700   9.294984E-02  -5.769441E-04   6.236707E-04  -6.313304E-05  -2.951374E-07   5.975383E-02   7.525026E-04  -5.347709E-04  -3.824650E-06   2.066663E-06
   1.800   9.267936E-02  -3.688217E-04   6.688238E-04  -8.006871E-05  -2.791064E-07   5.972898E-02   5.656152E-04  -5.976022E-04  -3.685287E-06   3.053378E-06
   1.900   9.221184E-02  -1.564376E-04   6.993612E-04  -9.902145E-05  -1.809318E-07   5.987129E-02   3.620150E-04  -6.526721E-04  -2.983242E-06   4.380329E-06
   2.000   9.158925E-02   4.872499E-05   7.129948E-04  -1.196127E-04   4.512320E-08   6.016325E-02   1.520346E-04  -6.968046E-04  -1.524181E-06   6.117237E-06
   2.100   9.085876E-02   2.357808E-04   7.082075E-04  -1.413115E-04   4.547180E-07   6.058194E-02  -5.344792E-05  -7.270288E-04   8.919310E-07   8.334532E-06
   2.200   9.006985E-02   3.951312E-04   6.843655E-04  -1.634431E-04   1.112231E-06   6.110032E-02  -2.436507E-04  -7.407473E-04   4.459245E-06   1.109983E-05
   2.300   8.927143E-02   5.190598E-04   6.417848E-04  -1.852049E-04   2.088722E-06   6.168865E-02  -4.085291E-04  -7.358891E-04   9.354075E-06   1.447409E-05
   2.400   8.850900E-02   6.021980E-04   5.817503E-04  -2.056917E-04   3.459166E-06   6.231613E-02  -5.393715E-04  -7.110407E-04   1.572361E-05   1.850774E-05
   2.500   8.782216E-02   6.418315E-04   5.064862E-04  -2.239264E-04   5.299165E-06   6.295238E-02  -6.293099E-04  -6.655452E-04   2.367615E-05   2.323694E-05
   2.600   8.724259E-02   6.380292E-04   4.190806E-04  -2.388976E-04   7.681367E-06   6.356895E-02  -6.737115E-04  -5.995652E-04   3.327366E-05   2.868029E-05
   2.700   8.679254E-02   5.935903E-04   3.233657E-04  -2.496001E-04   1.067185E-05   6.414056E-02  -6.704272E-04  -5.141056E-04   4.452672E-05   3.483602E-05
   2.800   8.648400E-02   5.138126E-04   2.237568E-04  -2.550792E-04   1.432670E-05   6.464621E-02  -6.198829E-04  -4.109956E-04   5.739217E-05   4.167989E-05
   2.900   8.631849E-02   4.061022E-04   1.250549E-04  -2.544756E-04   1.868892E-05   6.506984E-02  -5.250144E-04  -2.928310E-04   7.177271E-05   4.916379E-05
   3.000   8.628758E-02   2.794481E-04   3.221749E-05  -2.470706E-04   2.378571E-05   6.540085E-02  -3.910539E-04  -1.628804E-04   8.751803E-05   5.721489E-05
   3.100   8.637396E-02   1.438003E-04  -4.989312E-05  -2.323291E-04   2.962618E-05   6.563421E-02  -2.251898E-04  -2.496208E-05   1.044266E-04   6.573537E-05
   3.200   8.655306E-02   9.388877E-06  -1.167751E-04  -2.099405E-04   3.619917E-05   6.577028E-02  -3.612654E-05   1.167052E-04   1.222475E-04   7.460263E-05
   3.300   8.679504E-02  -1.139676E-04  -1.645530E-04  -1.798546E-04   4.347105E-05   6.581438E-02   1.664237E-04   2.576671E-04   1.406811E-04   8.366973E-05
   3.400   8.706707E-02  -2.175214E-04  -1.902296E-04  -1.423120E-04   5.138331E-05   6.577618E-02   3.722825E-04   3.934089E-04   1.593793E-04   9.276613E-05
   3.500   8.733566E-02  -2.941766E-04  -1.919062E-04  -9.786593E-05   5.984950E-05   6.566885E-02   5.713488E-04   5.195335E-04   1.779445E-04   1.016987E-04
   3.600   8.756899E-02  -3.389521E-04  -1.689541E-04  -4.739464E-05   6.875163E-05   6.550816E-02   7.541146E-04   6.319357E-04   1.959287E-04   1.102530E-04
   3.700   8.773895E-02  -3.492923E-04  -1.221205E-04   7.898262E-06   7.793590E-05   6.531154E-02   9.121299E-04   7.269675E-04   2.128336E-04   1.181949E-04
   3.800   8.782289E-02  -3.252014E-04  -5.355281E-05   6.649835E-05   8.720819E-05   6.509701E-02   1.038399E-03   8.015879E-04   2.281121E-04   1.252732E-04
   3.900   8.780486E-02  -2.691855E-04   3.326882E-05   1.266111E-04   9.632978E-05   6.488233E-02   1.127695E-03   8.534956E-04   2.411752E-04   1.312232E-04
   4.000   8.767639E-02  -1.860031E-04   1.336958E-04   1.862110E-04   1.050143E-04   6.468401E-02   1.176794E-03   8.812382E-04   2.514035E-04   1.357710E-04
   4.100   8.743653E-02  -8.223367E-05   2.421710E-04   2.431098E-04   1.129268E-04   6.451651E-02   1.184614E-03   8.842970E-04   2.581656E-04   1.386399E-04
   4.200   8.709149E-02   3.430756E-05   3.525733E-04   2.950435E-04   1.196864E-04   6.439151E-02   1.152277E-03   8.631434E-04   2.608450E-04   1.395592E-04
   4.300   8.665353E-02   1.552713E-04   4.586289E-04   3.397762E-04   1.248737E-04   6.431728E-02   1.083078E-03   8.192645E-04   2.588748E-04   1.382738E-04
   4.400   8.613955E-02   2.725401E-04   5.543641E-04   3.752189E-04   1.280434E-04   6.429810E-02   9.823888E-04   7.551559E-04   2.517790E-04   1.345567E-04
   4.500   8.556916E-02   3.790007E-04   6.345655E-04   3.995550E-04   1.287444E-04   6.433389E-02   8.574733E-04   6.742783E-04   2.392203E-04   1.282233E-04
